City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Echigo-Tsumari,Japan,FALSE,Niigata,Japan,37.9161244,139.0363708,Contemporary art,Kitagawa Fram,Japan,Triennial,International,2000,2018,Echigo-Tsumari,Japan,Asia
Seoul,South Korea,TRUE,Seoul,South Korea,37.566535,126.9779692,New media art,"Jeon Solok, Kwon Jin, Yun Minhwa","South Korea, South Korea, South Korea",Biennial,International,2000,2018,Seoul,South Korea,Asia
Quebec,Canada,TRUE,Quebec,Canada,46.8138783,-71.2079809,Contemporary art,Fabre Alexia,France,Biennial,International,2000,2017,Quebec,Canada,North America
Christchurch,New Zealand,TRUE,Christchurch,New Zealand,-43.5320214,172.6305589,Public art,Galbraith Heather,New Zealand,Biennial,International,2000,2018,Christchurch,New Zealand,Oceania
Yokohama,Japan,TRUE,Yokohama,Japan,41.0831433,141.2477228,Contemporary art,"Osaka Eriko, Miki Akiko, Kashiwagi Tomoh","Japan, Japan, Japan",Triennial,International,2001,2017,Yokohama,Japan,Asia
Göteborg,Sweden,TRUE,Göteborg,Sweden,57.70887,11.97456,Contemporary art,Haq Nav,UK,Biennial,International,2001,2017,Göteborg,Sweden,Western Europe
Guangzhou,China,TRUE,Guangzhou,China,23.1290799,113.26436,Contemporary art,"Wang Shaoqiang, Castellote Alejandro, Bao Dong, Zeng Han","China, Spain, China, China",Triennial,International,2002,2017,Guangzhou,China,Asia
Herning,Denmark,TRUE,Herning,Denmark,56.138557,8.967322,Contemporary art,"Visser Mattijs, Varenne Olivier, Martin Jean-Hubert, Birnbaum Daniel, Finders Maria","Netherlands, France, France, Sweden, n/a",Biennial,International,2002,2017,Herning,Denmark,Western Europe
Wrocław,Poland,TRUE,Wrocław,Poland,51.1078852,17.0385376,Public art,"Bieniek Michał, Kołodziejczyk Anna, Stec Anna",Poland,Annual,International,2003,2018,Wrocław,Poland,Eastern Europe
Moscow,Russia,TRUE,Moscow,Russia,55.755826,37.6172999,Contemporary art,Hasegawa Yuko,Japan,Biennial,International,2003,2017,Moscow,Russia,Eastern Europe
Melbourne,Australia,TRUE,Melbourne,Australia,-37.8136276,144.9630576,New media art,n/a,n/a,Triennial,International,2003,2018,Melbourne,Australia,Oceania
Belgian coast,Belgium,TRUE,Belgian coast,Belgium,50.8730755,3.3194148,"Sculpture, Public art",Ballet Heidi,Belgium,Triennial,International,2003,2018,Belgian coast,Belgium,Western Europe
